District Name,County Name (District),District Type (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Teacher Salary-Avg (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,10054,65,11,8,0,0,0,5,10,81550
Acalanes Union High (Contra Costa),Contra Costa,High School District,12770,58,10,10,2,0,0,9,10,87308
Ackerman Charter (Placer),Placer,Elementary School District,8059,55,7,8,0,0,0,6,18,63033
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,11742,44,11,9,1,0,0,13,10,N/A
Adelanto Elementary (San Bernardino),San Bernardino,Elementary School District,9378,63,10,9,0,0,0,7,10,76061
Alameda County Office of Education (Alameda),Alameda,County Office of Education (COE),N/A,17,31,3,1,2,0,31,5,N/A
Alameda Unified (Alameda),Alameda,Unified School District,11179,62,10,7,1,0,0,6,13,70250
Albany City Unified (Alameda),Alameda,Unified School District,11998,64,13,4,1,1,0,8,9,70558
Alexander Valley Union Elementary (Sonoma),Sonoma,Elementary School District,16457,64,12,5,0,1,0,9,8,N/A
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,10711,57,12,10,1,1,0,6,13,81234
Alisal Union (Monterey),Monterey,Elementary School District,9492,60,11,5,0,1,0,4,14,68478
Allensworth Elementary (Tulare),Tulare,Elementary School District,13139,50,13,6,0,0,0,12,17,42567
Alpaugh Unified (Tulare),Tulare,Unified School District,13559,55,10,5,1,0,0,10,17,56357
Alpine County Office of Education (Alpine),Alpine,County Office of Education (COE),N/A,24,1,16,1,2,0,12,10,N/A
Alpine County Unified (Alpine),Alpine,Unified School District,32361,42,17,10,0,0,0,22,8,62728
Alpine Union Elementary (San Diego),San Diego,Elementary School District,9633,63,6,8,0,2,0,10,8,71846
Alta Loma Elementary (San Bernardino),San Bernardino,Elementary School District,8661,65,10,5,0,3,0,6,10,76346
Alta Vista Elementary (Tulare),Tulare,Elementary School District,10423,65,8,4,0,0,0,10,12,68469
Alta-Dutch Flat Union Elementary (Placer),Placer,Elementary School District,11727,53,11,3,0,0,0,15,17,69741
Alum Rock Union Elementary (Santa Clara),Santa Clara,Elementary School District,11651,68,8,7,0,0,0,7,9,80761
Alview-Dairyland Union Elementary (Madera),Madera,Elementary School District,11276,53,6,20,0,0,0,8,13,60030
Alvina Elementary (Fresno),Fresno,Elementary School District,10874,54,14,4,0,0,0,7,19,44573
Alvord Unified (Riverside),Riverside,Unified School District,10649,64,12,7,1,0,0,5,9,91071
Amador County Office of Education (Amador),Amador,County Office of Education (COE),N/A,61,7,24,0,0,0,6,2,N/A
Amador County Unified (Amador),Amador,Unified School District,8259,49,11,6,1,0,0,7,12,66716
Anaheim Elementary (Orange),Orange,Elementary School District,11030,58,15,11,0,0,0,6,7,88694
Anaheim Union High (Orange),Orange,High School District,11004,63,8,8,1,0,0,5,10,93131
Anderson Union High (Shasta),Shasta,High School District,10960,52,8,12,3,0,0,8,13,69290
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,13775,63,11,6,1,0,0,9,9,52575
Antelope Elementary (Tehama),Tehama,Elementary School District,9551,64,10,4,0,0,0,7,11,66577
Antelope Valley Union High (Los Angeles),Los Angeles,High School District,11177,61,11,10,1,0,0,5,12,77627
Antioch Unified (Contra Costa),Contra Costa,Unified School District,10378,66,12,6,0,0,0,5,9,75768
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,9581,62,10,7,0,0,0,6,10,75980
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9446,67,9,7,1,0,0,7,8,92791
Arcata Elementary (Humboldt),Humboldt,Elementary School District,11253,55,9,6,0,4,0,11,10,61952
Arcohe Union Elementary (Sacramento),Sacramento,Elementary School District,8428,66,8,6,0,0,0,8,11,64940
Arena Union Elementary (Mendocino),Mendocino,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arena Union Elementary/Point Arena Joint Union High (Mendocino),Mendocino,Common Administration District,19407,49,14,9,3,0,0,9,15,55212
Armona Union Elementary (Kings),Kings,Elementary School District,9456,65,10,5,0,0,0,8,11,69943
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,9853,54,9,7,1,0,0,9,14,67900
Arvin Union (Kern),Kern,Elementary School District,10913,57,12,7,0,1,0,6,13,71717
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,9630,57,9,14,1,0,0,5,11,67147
Atwater Elementary (Merced),Merced,Elementary School District,8616,64,11,5,0,0,0,5,14,75409
Auburn Union Elementary (Placer),Placer,Elementary School District,11511,57,8,12,0,0,0,8,10,N/A
Azusa Unified (Los Angeles),Los Angeles,Unified School District,11893,62,12,7,0,0,0,5,10,79903
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,21382,54,6,9,0,0,0,14,18,N/A
Bakersfield City (Kern),Kern,Elementary School District,10800,65,13,7,0,0,0,4,10,67730
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,11123,61,13,5,0,0,0,4,13,89169
Ballard Elementary (Santa Barbara),Santa Barbara,Elementary School District,15630,60,12,0,0,0,0,2,14,91051
Ballico-Cressey Elementary (Merced),Merced,Elementary School District,9478,67,10,5,0,0,0,8,9,53811
Bangor Union Elementary (Butte),Butte,Elementary School District,11178,47,12,4,8,0,0,12,11,54802
Banning Unified (Riverside),Riverside,Unified School District,11294,60,7,10,0,1,0,8,14,68472
Banta Elementary (San Joaquin),San Joaquin,Elementary School District,10729,51,9,8,0,0,0,14,14,64458
Barstow Unified (San Bernardino),San Bernardino,Unified School District,9500,62,11,9,0,0,0,6,12,67244
Bass Lake Joint Union Elementary (Madera),Madera,Elementary School District,9702,59,11,9,0,0,0,9,12,58230
Bassett Unified (Los Angeles),Los Angeles,Unified School District,12658,51,10,7,1,0,0,12,14,80858
Bayshore Elementary (San Mateo),San Mateo,Elementary School District,10956,63,9,3,0,0,0,14,5,61596
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,10841,60,10,9,1,0,0,8,10,77210
Beardsley Elementary (Kern),Kern,Elementary School District,9431,60,9,6,0,0,0,6,12,59674
Beaumont Unified (Riverside),Riverside,Unified School District,8919,58,12,8,1,0,0,8,10,72984
Bella Vista Elementary (Shasta),Shasta,Elementary School District,9849,56,13,7,1,1,0,7,16,N/A
Belleview Elementary (Tuolumne),Tuolumne,Elementary School District,11561,59,8,6,0,0,0,14,11,53032
Bellevue Union Elementary (Sonoma),Sonoma,Elementary School District,13176,64,9,10,0,2,0,6,8,71029
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,10335,63,13,7,1,0,0,8,9,75922
Belmont-Redwood Shores Elementary (San Mateo),San Mateo,Elementary School District,9869,68,10,6,0,0,0,6,7,80855
Belridge Elementary (Kern),Kern,Elementary School District,32398,53,16,8,0,0,0,12,10,70028
Benicia Unified (Solano),Solano,Unified School District,9135,64,10,6,1,0,0,7,10,75196
Bennett Valley Union Elementary (Sonoma),Sonoma,Elementary School District,9046,72,6,4,0,0,0,8,9,64558
Berkeley Unified (Alameda),Alameda,Unified School District,14367,60,13,8,0,0,0,8,11,73395
Berryessa Union Elementary (Santa Clara),Santa Clara,Elementary School District,9143,66,12,6,0,0,0,7,9,75896
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,15353,61,12,5,1,0,0,9,12,72423
Big Creek Elementary (Fresno),Fresno,Elementary School District,16792,47,12,10,0,1,0,12,17,N/A
Big Lagoon Union Elementary (Humboldt),Humboldt,Elementary School District,22086,51,18,7,0,0,0,14,10,N/A
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,16766,55,11,10,3,0,0,8,10,61282
Big Pine Unified (Inyo),Inyo,Unified School District,21046,51,9,6,0,0,0,17,17,65811
Big Springs Union Elementary (Siskiyou),Siskiyou,Elementary School District,11157,59,15,3,1,0,0,5,15,N/A
Big Sur Unified (Monterey),Monterey,Unified School District,44474,62,20,3,0,0,0,7,8,47359
Big Valley Joint Unified (Lassen),Lassen,Unified School District,15334,45,17,7,2,0,0,10,17,47864
Biggs Unified (Butte),Butte,Unified School District,10878,58,8,5,1,1,0,10,14,54290
Bishop Unified (Inyo),Inyo,Unified School District,11498,64,9,8,0,0,0,8,11,72531
Bitterwater-Tully Elementary (San Benito),San Benito,Elementary School District,12300,67,5,6,0,0,0,5,17,N/A
Black Butte Union Elementary (Shasta),Shasta,Elementary School District,12752,54,13,13,1,0,0,9,9,62849
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,10902,52,10,13,2,0,0,7,13,61648
Blake Elementary (Kern),Kern,Elementary School District,23630,46,10,4,0,0,0,5,32,51805
Blochman Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,10671,53,16,8,0,0,0,11,12,55081
Blue Lake Union Elementary (Humboldt),Humboldt,Elementary School District,11183,70,9,3,1,0,0,6,10,57321
Bogus Elementary (Siskiyou),Siskiyou,Elementary School District,16540,51,13,7,2,0,0,19,8,46885
Bolinas-Stinson Union (Marin),Marin,Elementary School District,38809,56,14,6,0,0,0,15,8,84880
Bonita Unified (Los Angeles),Los Angeles,Unified School District,9248,59,10,8,1,0,0,7,13,79310
Bonny Doon Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,11377,62,14,4,0,0,0,7,12,57621
Bonsall Unified (San Diego),San Diego,Unified School District,9883,62,9,7,0,0,0,9,9,67768
Borrego Springs Unified (San Diego),San Diego,Unified School District,14578,62,8,6,1,0,0,8,15,N/A
Bradley Union Elementary (Monterey),Monterey,Elementary School District,13557,44,10,8,0,0,0,10,27,N/A
Brawley Elementary (Imperial),Imperial,Elementary School District,10550,63,10,7,0,0,0,6,13,85902
Brawley Union High (Imperial),Imperial,High School District,10359,50,6,11,5,1,0,7,18,87596
Brea-Olinda Unified (Orange),Orange,Unified School District,8847,61,9,10,1,0,0,7,10,77297
Brentwood Union Elementary (Contra Costa),Contra Costa,Elementary School District,9186,70,10,5,0,0,0,5,9,82914
Bret Harte Union High (Calaveras),Calaveras,High School District,15274,54,7,13,2,1,0,8,14,81972
Bridgeville Elementary (Humboldt),Humboldt,Elementary School District,19333,55,14,11,1,0,0,11,8,N/A
Briggs Elementary (Ventura),Ventura,Elementary School District,9109,54,14,4,5,0,0,8,6,66958
Brisbane Elementary (San Mateo),San Mateo,Elementary School District,16955,58,8,5,1,0,0,15,10,75278
Brittan Elementary (Sutter),Sutter,Elementary School District,9021,63,15,2,0,0,0,5,10,70137
Browns Elementary (Sutter),Sutter,Elementary School District,10315,53,15,5,0,3,0,12,10,41726
Buckeye Union Elementary (El Dorado),El Dorado,Elementary School District,8296,67,9,8,0,0,0,5,9,70981
Buellton Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,15812,64,11,11,0,0,0,4,5,64684
