"Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
1981,10,0.2,15.1,15.9,12.9,46.1,0.9,1.4,0.1,7.4,52.7,24.1,13,1.3,476,460,10054,65,11,8,0,0,0,5,10,81550
2132,4.9,0,44.8,6.2,17.3,21.8,0.6,2.4,0,6.8,29.3,24.1,13,0.6,570,526,10054,65,11,8,0,0,0,5,10,81550
1011,0.2,0.4,63.3,1.9,16.3,12.2,0.5,1.8,0,3.7,21.3,24.7,17,0.2,683,647,10054,65,11,8,0,0,0,5,10,81550
1549,15.2,0.3,4.7,9.4,6.9,72.4,0.6,0.6,0.4,4.7,75.7,22.1,12,9.4,472,435,10054,65,11,8,0,0,0,5,10,81550
1423,1.2,0,9.7,0.8,1.7,7.7,0.4,7.4,0.3,72,3.2,20.3,13,2.2,602,587,12770,58,10,10,2,0,0,9,10,87308
1528,4.4,0.4,11.9,2.8,3.9,10.5,0.3,3.2,0.7,66.3,8.6,20,11,2,577,553,12770,58,10,10,2,0,0,9,10,87308
1232,0.4,0.2,13.9,1.7,1.2,8.3,0.6,9.6,1.3,63.3,1.1,20.1,11,2.7,610,609,12770,58,10,10,2,0,0,9,10,87308
1300,0.7,0.1,14.8,0.8,1.6,8.2,0.1,9.1,1.6,63.8,2.1,20.7,13,1.2,607,611,12770,58,10,10,2,0,0,9,10,87308
1718,11.8,0.2,40.3,6.5,5.3,11.9,0.8,3.9,0.1,31.1,18.2,21.4,11,2.5,562,533,11179,62,10,7,1,0,0,6,13,70250
165,53.3,0,0,5.5,0.6,92.7,0,0,0.6,0.6,93.3,19,3,4.5,365,359,11179,62,10,7,1,0,0,6,13,70250
