School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Abraham Lincoln High (San Jose Unified),Santa Clara,San Jose Unified,High School,1903,14.2,0.6,4,3.3,1.6,72.9,0.5,1.6,0.3,15.3,55.8,22.3,10,3.2,467,469
Abraham Lincoln Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1030,15,0.2,23.8,1.4,0.5,72.6,0.1,0.5,0.1,0.9,89.9,18.7,18,0,459,418
Abraxis Charter (Santa Rosa High),Sonoma,Santa Rosa High,High School,41,24.4,0,0,7.3,0,73.2,0,4.9,0,14.6,95.1,13.7,2,0,N/A,N/A
Academies of Education and Empowerment at Carson High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,563,4.8,0.2,1.2,17.8,22.4,51,4.4,0.9,0,2.1,61.3,26.7,17,0,417,420
Academies of the Antelope Valley (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,331,2.1,0.9,2.7,15.1,3.9,51.4,0,3,0.6,22.4,58,15.7,9,6.8,0,0
Academy for Multilingual Arts and Science at Mervyn M. Dymally High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,703,24.2,0.1,0,23.6,0.1,75.2,0,0.1,0,0.7,92,21.1,10,1.6,371,356
Academy of Arts and Sciences: Los Angeles (9-12) (Acton-Agua Dulce Unified),Los Angeles,Acton-Agua Dulce Unified,High School,29,N/A,0,3.4,6.9,0,31,3.4,6.9,6.9,41.4,37.9,9,2,0,N/A,N/A
Academy of Medical Arts at Carson High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,510,4.3,0.2,2.7,8.8,41.2,39.2,4.1,1.8,0.2,1.8,60.6,24.9,18,0.2,450,428
Academy of Science and Engineering (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,226,13.3,0,0,16.4,0,83.6,0,0,0,0,93.4,18.5,2,2.1,366,381
Academy of the Canyons (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,395,0.3,0,19.5,2,11.1,22.8,0,5.1,0,39.5,7.8,33.2,12,0.3,597,579
Acalanes High (Acalanes Union High),Contra Costa,Acalanes Union High,High School,1423,1.2,0,9.7,0.8,1.7,7.7,0.4,7.4,0.3,72,3.2,20.3,13,2.2,602,587
ACE Charter High (East Side Union High),Santa Clara,East Side Union High,High School,267,51.7,0,0.4,0,0,97.8,0,0.4,0.7,0.7,95.9,17.8,2,19.4,0,0
Adelanto High (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,1695,11.5,0.4,1.1,26.1,0.4,63.5,0.8,1.9,0.7,5.1,86.1,23.2,7,11.1,417,409
